"Open time" "Open" "High" "Low" "Close" "Volume" "Close time" "Quote asset volume" "Number of trades" "Taker buy base asset volume" "Taker buy quote asset volume" "Ignore"
"1606907040000" "19175.13000000" "19180.00000000" "19164.73000000" "19172.25000000" "23.60460700" "1606907099999" "452579.26684941" "978" "14.44436100" "276948.32454059" "0"
"1606907100000" "19172.25000000" "19187.29000000" "19172.00000000" "19181.52000000" "41.16630800" "1606907159999" "789569.35712080" "1234" "22.96915600" "440529.28148841" "0"
"1606907160000" "19181.51000000" "19185.62000000" "19164.78000000" "19169.03000000" "36.00495000" "1606907219999" "690365.31052798" "878" "7.68512100" "147371.30231515" "0"
"1606907220000" "19169.04000000" "19181.00000000" "19166.44000000" "19177.37000000" "13.20398700" "1606907279999" "253180.46640206" "1006" "7.39125600" "141722.14055610" "0"
"1606907280000" "19177.38000000" "19177.38000000" "19103.51000000" "19106.79000000" "60.32342300" "1606907339999" "1154364.73653944" "1525" "24.98573800" "478053.85126237" "0"
"1606907340000" "19107.92000000" "19110.50000000" "19080.22000000" "19098.01000000" "45.15633700" "1606907399999" "862339.48745833" "1671" "25.02702400" "477944.07824736" "0"
"1606907400000" "19097.63000000" "19099.76000000" "19061.32000000" "19079.07000000" "50.76842400" "1606907459999" "968562.18824573" "1278" "19.68357100" "375436.52610408" "0"
"1606907460000" "19079.07000000" "19084.50000000" "19069.05000000" "19083.15000000" "33.41977500" "1606907519999" "637508.26740506" "1165" "18.06206000" "344548.09212554" "0"
"1606907520000" "19083.16000000" "19107.34000000" "19082.33000000" "19094.01000000" "47.71808700" "1606907579999" "911142.31138648" "1214" "28.82657300" "550404.58000349" "0"
"1606907580000" "19094.00000000" "19094.01000000" "19065.25000000" "19073.48000000" "32.28976000" "1606907639999" "615957.22203987" "1020" "10.20803200" "194714.23337054" "0"
"1606907640000" "19073.47000000" "19090.32000000" "19070.49000000" "19075.07000000" "31.98079200" "1606907699999" "610151.77606335" "900" "13.24432400" "252704.74799675" "0"
"1606907700000" "19075.72000000" "19096.50000000" "19061.56000000" "19090.90000000" "90.43573500" "1606907759999" "1725814.91105433" "1264" "18.72436300" "357376.98667217" "0"
"1606907760000" "19090.90000000" "19114.50000000" "19090.00000000" "19114.50000000" "54.51520800" "1606907819999" "1041203.04054339" "969" "24.61078500" "470014.14919748" "0"
"1606907820000" "19114.50000000" "19133.50000000" "19080.22000000" "19081.99000000" "36.74024900" "1606907879999" "702407.92049059" "1309" "14.67846400" "280622.11548483" "0"
"1606907880000" "19081.99000000" "19091.98000000" "19032.66000000" "19049.83000000" "82.87663500" "1606907939999" "1579332.60336056" "1697" "39.79361500" "758374.41169202" "0"
"1606907940000" "19048.78000000" "19074.49000000" "19036.01000000" "19056.01000000" "67.66129900" "1606907999999" "1289459.54426685" "1571" "38.45965500" "732936.42148349" "0"
"1.606908e+12" "19056.01000000" "19065.11000000" "19035.99000000" "19040.00000000" "108.61457500" "1606908059999" "2068388.94702242" "1155" "80.32767500" "1529615.64095379" "0"
"1606908060000" "19040.00000000" "19050.65000000" "19022.47000000" "19022.47000000" "41.81894000" "1606908119999" "796093.65562544" "1090" "23.52814900" "447937.52636277" "0"
"1606908120000" "19022.48000000" "19060.00000000" "19022.47000000" "19045.76000000" "34.66970900" "1606908179999" "660216.60806187" "962" "23.88312200" "454788.76230198" "0"
"1606908180000" "19045.76000000" "19115.00000000" "19040.36000000" "19112.62000000" "55.76896800" "1606908239999" "1063386.14474048" "1412" "31.22656500" "595748.93520098" "0"
"1606908240000" "19112.42000000" "19128.36000000" "19098.78000000" "19126.02000000" "131.46095700" "1606908299999" "2513349.61262929" "1451" "56.81951700" "1086156.25340262" "0"
"1606908300000" "19126.02000000" "19149.15000000" "19120.64000000" "19137.29000000" "49.45631200" "1606908359999" "946432.67714437" "1579" "30.90071200" "591330.52875000" "0"
"1606908360000" "19137.29000000" "19153.86000000" "19131.44000000" "19147.09000000" "57.11585700" "1606908419999" "1093369.59167009" "1252" "35.77929400" "684979.08935243" "0"
"1606908420000" "19147.08000000" "19149.63000000" "19110.93000000" "19127.33000000" "46.75976300" "1606908479999" "894627.31279264" "1341" "14.45254000" "276529.04569266" "0"
"1606908480000" "19127.34000000" "19166.47000000" "19124.16000000" "19161.89000000" "44.88395800" "1606908539999" "859501.62384345" "1289" "30.71810800" "588159.69995125" "0"
